userid,casted_country_name,correct_answers
99333,Spain,688
61954,Germany,677
86016,Belgium,622
39367,United States,587
77990,Ireland,573
34398,United Kingdom,519
24738,New Zealand,518
44529,France,498
90348,Australia,480
16172,Italy,366
82713,Canada,348
